x,psi
0,1
0.0001,0.99999999825
0.0002,0.999999993
0.0003,0.99999998425
0.0004,0.999999972000001
0.0005,0.999999956250004
0.0006,0.999999937000009
0.0007,0.999999914250018
0.0008,0.999999888000032
0.0009,0.999999858250053
0.001,0.999999825000082
0.0011,0.999999788250122
0.0012,0.999999748000175
0.0013,0.999999704250244
0.0014,0.99999965700033
0.0015,0.999999606250437
0.0016,0.999999552000569
0.0017,0.999999494250727
0.0018,0.999999433000916
0.0019,0.99999936825114
0.002,0.999999300001402
0.0021,0.999999228251707
0.0022,0.999999153002058
0.0023,0.999999074252461
0.0024,0.99999899200292
0.0025,0.99999890625344
0.0026,0.999998817004027
0.0027,0.999998724254685
0.0028,0.999998628005421
0.0029,0.99999852825624
0.003,0.999998425007148
0.0031,0.999998318258152
0.0032,0.999998208009259
0.0033,0.999998094260473
0.0034,0.999997977011804
0.0035,0.999997856263257
0.0036,0.99999773201484
0.0037,0.999997604266561
0.0038,0.999997473018427
0.0039,0.999997338270446
0.004,0.999997200022626
0.0041,0.999997058274976
0.0042,0.999996913027505
0.0043,0.999996764280221
0.0044,0.999996612033133
0.0045,0.999996456286251
0.0046,0.999996297039584
0.0047,0.999996134293142
0.0048,0.999995968046934
0.0049,0.999995798300972
0.005,0.999995625055263
0.0051,0.99999544830982
0.0052,0.999995268064654
0.0053,0.999995084319774
0.0054,0.999994897075192
0.0055,0.99999470633092
0.0056,0.99999451208697
0.0057,0.999994314343352
0.0058,0.999994113100078
0.0059,0.999993908357162
0.006,0.999993700114615
0.0061,0.999993488372451
0.0062,0.999993273130681
0.0063,0.99999305438932
0.0064,0.999992832148379
0.0065,0.999992606407874
0.0066,0.999992377167817
0.0067,0.999992144428222
0.0068,0.999991908189104
0.0069,0.999991668450476
0.007,0.999991425212354
0.0071,0.999991178474752
0.0072,0.999990928237685
0.0073,0.999990674501169
0.0074,0.999990417265217
0.0075,0.999990156529847
0.0076,0.999989892295074
0.0077,0.999989624560914
0.0078,0.999989353327383
0.0079,0.999989078594498
0.008,0.999988800362274
0.0081,0.99998851863073
0.0082,0.999988233399882
0.0083,0.999987944669747
0.0084,0.999987652440344
0.0085,0.999987356711689
0.0086,0.999987057483801
0.0087,0.999986754756698
0.0088,0.999986448530399
0.0089,0.999986138804921
0.009,0.999985825580284
0.0091,0.999985508856506
0.0092,0.999985188633607
0.0093,0.999984864911607
0.0094,0.999984537690525
0.0095,0.99998420697038
0.0096,0.999983872751194
0.0097,0.999983535032985
0.0098,0.999983193815775
0.0099,0.999982849099584
0.01,0.999982500884433
0.0101,0.999982149170343
0.0102,0.999981793957336
0.0103,0.999981435245433
0.0104,0.999981073034657
0.0105,0.999980707325028
0.0106,0.999980338116569
0.0107,0.999979965409303
0.0108,0.999979589203252
0.0109,0.999979209498439
0.011,0.999978826294887
0.0111,0.999978439592619
0.0112,0.999978049391659
0.0113,0.99997765569203
0.0114,0.999977258493756
0.0115,0.999976857796862
0.0116,0.999976453601371
0.0117,0.999976045907308
0.0118,0.999975634714698
0.0119,0.999975220023566
0.012,0.999974801833937
0.0121,0.999974380145836
0.0122,0.999973954959289
0.0123,0.999973526274322
0.0124,0.99997309409096
0.0125,0.999972658409231
0.0126,0.999972219229159
0.0127,0.999971776550773
0.0128,0.999971330374098
0.0129,0.999970880699162
0.013,0.999970427525992
0.0131,0.999969970854615
0.0132,0.99996951068506
0.0133,0.999969047017353
0.0134,0.999968579851524
0.0135,0.9999681091876
0.0136,0.999967635025611
0.0137,0.999967157365585
0.0138,0.99996667620755
0.0139,0.999966191551536
0.014,0.999965703397573
0.0141,0.99996521174569
0.0142,0.999964716595917
0.0143,0.999964217948284
0.0144,0.999963715802821
0.0145,0.999963210159558
0.0146,0.999962701018527
0.0147,0.999962188379758
0.0148,0.999961672243282
0.0149,0.999961152609131
0.015,0.999960629477335
0.0151,0.999960102847928
0.0152,0.99995957272094
0.0153,0.999959039096405
0.0154,0.999958501974353
0.0155,0.999957961354819
0.0156,0.999957417237834
0.0157,0.999956869623432
0.0158,0.999956318511646
0.0159,0.999955763902509
0.016,0.999955205796055
0.0161,0.999954644192318
0.0162,0.999954079091332
0.0163,0.999953510493131
0.0164,0.99995293839775
0.0165,0.999952362805223
0.0166,0.999951783715586
0.0167,0.999951201128873
0.0168,0.999950615045119
0.0169,0.999950025464361
0.017,0.999949432386633
0.0171,0.999948835811973
0.0172,0.999948235740416
0.0173,0.999947632171999
0.0174,0.999947025106758
0.0175,0.999946414544729
0.0176,0.999945800485951
0.0177,0.99994518293046
0.0178,0.999944561878294
0.0179,0.99994393732949
0.018,0.999943309284087
0.0181,0.999942677742122
0.0182,0.999942042703635
0.0183,0.999941404168662
0.0184,0.999940762137243
0.0185,0.999940116609418
0.0186,0.999939467585224
0.0187,0.999938815064702
