x,psi
0,1
0.001,0.9999995
0.002,0.99999800000175
0.003,0.99999550000975
0.004,0.9999920000315
0.005,0.9999875000775
0.006,0.99998200016125
0.007,0.999975500299249
0.008,0.999968000510997
0.009,0.999959500818992
0.01,0.999950001248733
0.011,0.999939501828717
0.012,0.999928002590442
0.013,0.999915503568403
0.014,0.999902004800096
0.015,0.999887506326016
0.016,0.999872008189653
0.017,0.999855510437499
0.018,0.999838013119043
0.019,0.999819516286772
0.02,0.999800019996168
0.021,0.999779524305714
0.022,0.999758029276888
0.023,0.999735534974165
0.024,0.999712041465017
0.025,0.999687548819911
0.026,0.99966205711231
0.027,0.999635566418674
0.028,0.999608076818455
0.029,0.999579588394101
0.03,0.999550101231055
0.031,0.999519615417751
0.032,0.99948813104562
0.033,0.999455648209083
0.034,0.999422167005554
0.035,0.99938768753544
0.036,0.999352209902137
0.037,0.999315734212034
0.038,0.999278260574509
0.039,0.99923978910193
0.04,0.999200319909655
0.041,0.99915985311603
0.042,0.999118388842388
0.043,0.99907592721305
0.044,0.999032468355326
0.045,0.998988012399509
0.046,0.998942559478879
0.047,0.9988961097297
0.048,0.998848663291222
0.049,0.998800220305677
0.05,0.998750780918279
0.051,0.998700345277226
0.052,0.998648913533695
0.053,0.998596485841845
0.054,0.998543062358816
0.055,0.998488643244724
0.056,0.998433228662665
0.057,0.998376818778712
0.058,0.998319413761915
0.059,0.998261013784298
0.06,0.998201619020861
0.061,0.998141229649579
0.062,0.998079845851398
0.063,0.998017467810238
0.064,0.997954095712988
0.065,0.997889729749511
0.066,0.997824370112635
0.067,0.997758016998159
0.068,0.997690670604849
0.069,0.997622331134438
0.07,0.997552998791622
0.071,0.997482673784063
0.072,0.997411356322388
0.073,0.997339046620184
0.074,0.997265744894
0.075,0.997191451363345
0.076,0.997116166250687
0.077,0.997039889781452
0.078,0.996962622184024
0.079,0.99688436368974
0.08,0.996805114532894
0.081,0.996724874950732
0.082,0.996643645183453
0.083,0.996561425474207
0.084,0.996478216069092
0.085,0.996394017217157
0.086,0.996308829170398
0.087,0.996222652183754
0.088,0.996135486515113
0.089,0.996047332425304
0.09,0.995958190178099
0.091,0.99586806004021
0.092,0.995776942281289
0.093,0.995684837173926
0.094,0.995591744993649
0.095,0.99549766601892
0.096,0.995402600531136
0.097,0.995306548814627
0.098,0.995209511156652
0.099,0.995111487847402
0.1,0.995012479179995
0.101,0.994912485450479
0.102,0.994811506957822
0.103,0.994709544003921
0.104,0.994606596893592
0.105,0.994502665934575
0.106,0.994397751437527
0.107,0.994291853716024
0.108,0.994184973086558
0.109,0.994077109868535
0.11,0.993968264384275
0.111,0.993858436959009
0.112,0.993747627920878
0.113,0.993635837600932
0.114,0.993523066333127
0.115,0.993409314454323
0.116,0.993294582304284
0.117,0.993178870225676
0.118,0.993062178564065
0.119,0.992944507667915
0.12,0.992825857888586
0.121,0.992706229580332
0.122,0.992585623100302
0.123,0.992464038808534
0.124,0.992341477067956
0.125,0.992217938244384
0.126,0.992093422706519
0.127,0.991967930825947
0.128,0.991841462977136
0.129,0.991714019537431
0.13,0.99158560088706
0.131,0.991456207409123
0.132,0.991325839489599
0.133,0.991194497517337
0.134,0.991062181884055
0.135,0.990928892984343
0.136,0.990794631215655
0.137,0.990659396978312
0.138,0.990523190675497
0.139,0.990386012713253
0.14,0.990247863500483
0.141,0.990108743448946
0.142,0.989968652973255
0.143,0.989827592490876
0.144,0.989685562422127
0.145,0.989542563190172
0.146,0.989398595221023
0.147,0.989253658943537
0.148,0.989107754789411
0.149,0.988960883193183
0.15,0.988813044592229
0.151,0.98866423942676
0.152,0.988514468139821
0.153,0.988363731177287
0.154,0.988212028987865
0.155,0.988059362023086
0.156,0.987905730737306
0.157,0.987751135587704
0.158,0.98759557703428
0.159,0.987439055539849
0.16,0.987281571570043
0.161,0.987123125593309
0.162,0.986963718080901
0.163,0.986803349506885
0.164,0.986642020348131
0.165,0.986479731084314
